line,number,name,latitude,longitude,,
1,150,서울,37.55315,126.972533,,
1,151,시청,37.56359,126.975407,,
1,152,종각,37.570203,126.983116,,
1,153,종로3가,37.570429,126.992095,,
1,154,종로5가,37.570971,127.0019,,
1,155,동대문,37.57179,127.011383,,
1,159,동묘앞,37.573265,127.016459,,
1,156,신설동,37.576117,127.02471,,
1,157,제기동,37.578116,127.034902,,
1,158,청량리,37.580148,127.045063,,
2,202,을지로입구,37.565998,126.982569,,
2,203,을지로3가,37.566292,126.991773,,
2,204,을지로4가,37.566611,126.998122,,
2,205,동대문역사문화공원,37.565597,127.009113,,
2,206,신당,37.565681,127.019488,,
2,207,상왕십리,37.564504,127.028872,,
2,208,왕십리,37.561159,127.035505,,
2,209,한양대,37.55658,127.043504,,
2,210,뚝섬,37.54718,127.047413,,
2,211,성수,37.544628,127.055983,,
2,212,건대입구,37.540408,127.069231,,
2,213,구의,37.536857,127.085024,,
2,214,강변,37.535161,127.094684,,
2,215,잠실나루,37.520688,127.103836,,
2,216,잠실,37.513305,127.100129,,
2,217,잠실새내,37.520731,127.103738,,
2,218,종합운동장,37.511008,127.073641,,
2,219,삼성,37.508827,127.063203,,
2,220,선릉,37.504257,127.048174,,
2,221,역삼,37.500658,127.03643,,
2,222,강남,37.497958,127.027539,,
2,223,교대,37.493957,127.014631,,
2,224,서초,37.49191,127.007945,,
2,225,방배,37.481469,126.997627,,
2,226,사당,37.476536,126.981631,,
2,227,낙성대,37.47693,126.963783,,
2,228,서울대입구,37.481233,126.952745,,
2,229,봉천,37.482416,126.941896,,
2,230,신림,37.484216,126.929573,,
2,231,신대방,37.487534,126.913279,,
2,232,구로디지털단지,37.485005,126.902626,,
2,233,대림,37.492426,126.895293,,
2,234,신도림,37.508815,126.891222,,
2,235,문래,37.517993,126.894766,,
2,236,영등포구청,37.525766,126.896627,,
2,237,당산,37.533877,126.902011,,
2,238,합정,37.550025,126.914557,,
2,239,홍대입구,37.556748,126.923643,,
2,240,신촌,37.555153,126.93689,,
2,241,이대,37.556734,126.945897,,
2,242,아현,37.557407,126.956079,,
2,243,충정로,37.559742,126.964455,,
2,201,시청,37.563534,126.975271,,
2,246,신설동,37.574653,127.025158,,
2,250,용두,37.574012,127.03811,,
2,245,신답,37.56147,127.056348,,
2,244,용답,37.566412,126.977863,,
2,247,도림천,37.514759,126.882586,,
2,248,양천구청,37.512194,126.865193,,
2,249,신정네거리,37.520218,126.852849,,
2,200,까치산,37.53181,126.846706,,
3,309,지축,37.648281,126.912551,,
3,310,구파발,37.636612,126.918827,,
3,311,연신내,37.618855,126.920859,,
3,312,불광,37.610554,126.929843,,
3,313,녹번,37.600882,126.935758,,
3,314,홍제,37.588851,126.944092,,
3,315,무악재,37.582658,126.950131,,
3,316,독립문,37.574534,126.957902,,
3,317,경복궁,37.575844,126.973576,,
3,318,안국,37.576562,126.98547,,
3,319,종로3가,37.571537,126.991237,,
3,320,을지로3가,37.566299,126.992616,,
3,321,충무로,37.561302,126.995473,,
3,322,동대입구,37.55816,127.005273,,
3,323,약수,37.554674,127.010628,,
3,324,금호,37.548269,127.015785,,
3,325,옥수,37.541653,127.017303,,
3,326,압구정,37.526169,127.028502,,
3,327,신사,37.516438,127.020247,,
3,328,잠원,37.512989,127.011613,,
3,329,고속터미널,37.504953,127.004916,,
3,330,교대,37.49306,127.013796,,
3,331,남부터미널,37.48494,127.016289,,
3,332,양재,37.48466,127.03513,,
3,333,매봉,37.487114,127.046907,,
3,334,도곡,37.491129,127.055694,,
3,335,대치,37.494601,127.063449,,
3,336,학여울,37.496757,127.070541,,
3,337,대청,37.493607,127.079526,,
3,338,일원,37.48389,127.08416,,
3,339,수서,37.487507,127.101324,,
3,340,가락시장,37.492368,127.118101,,
3,341,경찰병원,37.495754,127.124198,,
3,342,오금,37.502288,127.128344,,
4,409,당고개,37.66956,127.078404,,
4,410,상계,37.660576,127.073199,,
4,411,노원,37.656274,127.063183,,
4,412,창동,37.652993,127.046746,,
4,413,쌍문,37.648274,127.034381,,
4,414,수유,37.637127,127.024731,,
4,415,미아,37.626435,127.026151,,
4,416,미아사거리,37.613276,127.030083,,
4,417,길음,37.604087,127.025353,,
4,418,성신여대입구,37.592782,127.017338,,
4,419,한성대입구,37.58838,127.006751,,
4,420,혜화,37.582116,127.001759,,
4,421,동대문,37.5708397,127.009403,,
4,422,동대문역사문화공원,37.565083,127.007645,,
4,423,충무로,37.561302,126.995473,,
4,424,명동,37.561055,126.988271,,
4,425,회현,37.559698,126.979565,,
4,426,서울,37.553172,126.972836,,
4,427,숙대입구,37.545124,126.971952,,
4,428,삼각지,37.535057,126.973354,,
4,429,신용산,37.52919,126.96858,,
4,430,이촌,37.522525,126.97335,,
4,431,동작,37.503567,126.980171,,
4,432,총신대입구,37.487521,126.982309,,
4,433,사당,37.476563,126.981746,,
4,434,남태령,37.464339,126.989081,,
5,2511,방화,37.577669,126.812822,,
5,2512,개화산,37.572458,126.806838,,
5,2513,김포공항,37.56217,126.801273,,
5,2514,송정,37.561411,126.812052,,
5,2515,마곡,37.562182,126.82693,,
5,2516,발산,37.562182,126.82693,,
5,2517,우장산,37.548864,126.83633,,
5,2518,화곡,37.541585,126.840436,,
5,2519,까치산,37.53181,126.846706,,
5,2520,신정,37.525001,126.856176,,
5,2521,목동,37.526088,126.864296,,
5,2522,오목교,37.524557,126.875049,,
5,2523,양평,37.525614,126.886177,,
5,2524,영등포구청,37.524209,126.895022,,
5,2525,영등포시장,37.52276,126.905143,,
5,2526,신길,37.51763,126.914886,,
5,2527,여의도,37.521578,126.924318,,
5,2528,여의나루,37.527145,126.932807,,
5,2529,마포,37.539718,126.946043,,
5,2530,공덕,37.544005,126.951058,,
5,2531,애오개,37.553592,126.956733,,
5,2532,충정로,37.560061,126.962783,,
5,2533,서대문,37.565812,126.966639,,
5,2534,광화문,37.570545,126.976568,,
5,2535,종로3가,37.572546,126.990447,,
5,2536,을지로4가,37.56658,126.998127,,
5,2537,동대문역사문화공원,37.564682,127.00533,,
5,2538,청구,37.560237,127.01379,,
5,2539,신금호,37.554504,127.020403,,
5,2540,행당,37.557297,127.029482,,
5,2541,왕십리,37.56197,127.037264,,
5,2542,마장,37.566066,127.042921,,
5,2543,답십리,37.566833,127.05266,,
5,2544,장한평,37.561438,127.064601,,
5,2545,군자,37.557102,127.079559,,
5,2546,아차산,37.552005,127.089609,,
5,2547,광나루,37.545301,127.103478,,
5,2548,천호,37.538566,127.123539,,
5,2549,강동,37.53581,127.13249,,
5,2550,길동,37.538022,127.140085,,
5,2551,굽은다리,37.545442,127.142844,,
